Date,Time,State,Candidate,Party,Traffic
2016-03-16,3:00:00,MO,sanders,dem,90
2016-03-09,4:00:00,NC,sanders,dem,58
2016-03-09,5:00:00,NC,sanders,dem,60
2016-03-09,6:00:00,NC,sanders,dem,48
2016-03-09,7:00:00,NC,sanders,dem,41
2016-03-09,8:00:00,NC,sanders,dem,29
2016-03-09,9:00:00,NC,sanders,dem,30
2016-03-09,10:00:00,NC,sanders,dem,31
2016-03-09,11:00:00,NC,sanders,dem,35
2016-03-09,12:00:00,NC,sanders,dem,32
2016-03-09,13:00:00,NC,sanders,dem,25
2016-03-09,14:00:00,NC,sanders,dem,22
2016-03-09,15:00:00,NC,sanders,dem,19
2016-03-09,16:00:00,NC,sanders,dem,19
2016-03-09,17:00:00,NC,sanders,dem,18
2016-03-09,18:00:00,NC,sanders,dem,17
2016-03-09,19:00:00,NC,sanders,dem,16
2016-03-09,20:00:00,NC,sanders,dem,16
2016-03-09,21:00:00,NC,sanders,dem,16
2016-03-09,22:00:00,NC,sanders,dem,18
2016-03-09,23:00:00,NC,sanders,dem,22
2016-03-10,0:00:00,NC,sanders,dem,22
2016-03-10,1:00:00,NC,sanders,dem,20
2016-03-10,2:00:00,NC,sanders,dem,28
2016-03-10,3:00:00,NC,sanders,dem,38
2016-03-10,4:00:00,NC,sanders,dem,35
2016-03-10,5:00:00,NC,sanders,dem,34
2016-03-10,6:00:00,NC,sanders,dem,27
2016-03-10,7:00:00,NC,sanders,dem,22
2016-03-10,8:00:00,NC,sanders,dem,24
2016-03-10,9:00:00,NC,sanders,dem,18
2016-03-10,10:00:00,NC,sanders,dem,16
2016-03-10,11:00:00,NC,sanders,dem,21
2016-03-10,12:00:00,NC,sanders,dem,22
2016-03-10,13:00:00,NC,sanders,dem,22
2016-03-10,14:00:00,NC,sanders,dem,22
2016-03-10,15:00:00,NC,sanders,dem,22
2016-03-10,16:00:00,NC,sanders,dem,19
2016-03-10,17:00:00,NC,sanders,dem,19
2016-03-10,18:00:00,NC,sanders,dem,18
2016-03-10,19:00:00,NC,sanders,dem,18
